Series Name,"Country Name","2015_l"
"Life expectancy at birth, total (years)","Libya","71.698"
"Life expectancy at birth, total (years)","Liechtenstein","82.6560975609756"
"Life expectancy at birth, total (years)","Lithuania","74.3219512195122"
"Life expectancy at birth, total (years)","Luxembourg","82.2926829268293"
"Life expectancy at birth, total (years)","Macao SAR, China","83.984"
"Life expectancy at birth, total (years)","Madagascar","64.339"
"Life expectancy at birth, total (years)","Malawi","61.378"
"Life expectancy at birth, total (years)","Malaysia","75.094"
"Life expectancy at birth, total (years)","Maldives","79.695"
"Life expectancy at birth, total (years)","Mali","58.363"
"Life expectancy at birth, total (years)","Malta","81.8975609756097"
"Life expectancy at birth, total (years)","Marshall Islands",".."
"Life expectancy at birth, total (years)","Mauritania","64.485"
"Life expectancy at birth, total (years)","Mauritius","74.3531707317073"
"Life expectancy at birth, total (years)","Mexico","74.682"
"Life expectancy at birth, total (years)","Micronesia, Fed. Sts.","71.408"
"Life expectancy at birth, total (years)","Moldova","69.24"
"Life expectancy at birth, total (years)","Monaco",".."
"Life expectancy at birth, total (years)","Mongolia","69.498"
"Life expectancy at birth, total (years)","Montenegro","76.4487804878049"
"Life expectancy at birth, total (years)","Morocco","72.92"
"Life expectancy at birth, total (years)","Mozambique","58.151"
"Life expectancy at birth, total (years)","Myanmar","65.561"
"Life expectancy at birth, total (years)","Namibia","60.7"
"Life expectancy at birth, total (years)","Nauru",".."
"Life expectancy at birth, total (years)","Nepal","67.456"
"Life expectancy at birth, total (years)","Netherlands","81.509756097561"
"Life expectancy at birth, total (years)","New Caledonia","77.2804878048781"
"Life expectancy at birth, total (years)","New Zealand","81.4568292682927"
"Life expectancy at birth, total (years)","Nicaragua","72.983"
"Life expectancy at birth, total (years)","Niger","61.083"
"Life expectancy at birth, total (years)","Nigeria","51.841"
"Life expectancy at birth, total (years)","North Macedonia","75.4024390243902"
"Life expectancy at birth, total (years)","Northern Mariana Islands",".."
"Life expectancy at birth, total (years)","Norway","82.3048780487805"
"Life expectancy at birth, total (years)","Oman","77.687"
